,barrio,barrio-href,zona,ciudad,lat,lon
132,El Remanso,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=166&country=El%20Remanso,Buenos Aires - Norte,Pilar,-34.387611 , -59.083895
133,Barrio Melazzi,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=867&country=Barrio%20Melazzi,Buenos Aires - Sur,Ezeiza,-34.742185 , -58.519590
134,Chacras La Angelica,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=428&country=Chacras%20La%20Angelica,Buenos Aires - Norte,Zarate,-34.140771 , -59.07086
135,La Delfina,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=73&country=La%20Delfina,Buenos Aires - Norte,Pilar,-34.455318 , -58.867368
136,Los Nogales,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1021&country=Los%20Nogales,Prov. Rio Negro,El Bolsón,,
137,Morada Villa Urbana,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=694&country=Morada%20Villa%20Urbana,Prov. Cordoba,Villa Allende,-31.2694 , -64.304388
138,Siete Soles,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=978&country=Siete%20Soles,Prov. Cordoba,Carlos Paz,-32.694215 , -63.752374
139,El Remanso,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=653&country=El%20Remanso,Prov. Mendoza,Chacras de Coria,-32.995465 , -68.889376
140,San Jorge Village,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=394&country=San%20Jorge%20Village,Buenos Aires - Norte,Malvinas Argentinas,-34.456155 , -58.685193
141,La Paloma,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=551&country=La%20Paloma,Prov. Cordoba,Villa Allende,-31.291971 , -64.273648
142,Altamira,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=270&country=Altamira,Buenos Aires - Norte,Tigre,-34.400793 , -58.639885
143,Nuevo Gales,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=977&country=Nuevo%20Gales,Prov. Chubut,Trevelin,,
144,Kentucky Club de Campo,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=567&country=Kentucky%20Club%20de%20Campo,Prov. Santa Fe,Funes,-32.919758 , -60.775473
145,Newbery,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=720&country=Newbery,Prov. Santa Fe,Santa Fé,-32.904441 , -60.739833
146,Estancia Las Malvinas,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=197&country=Estancia%20Las%20Malvinas,Buenos Aires - Sur,Brandsen,-35.139041 , -58.166883
147,Estancias Golf,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=612&country=Estancias%20Golf,Buenos Aires - Norte,Pilar,-34.453748 , -58.924815
148,El Aromo,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=59&country=El%20Aromo,Buenos Aires - Norte,Escobar,-34.33551 , -58.850961
149,Polo Ascochinga,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=710&country=Polo%20Ascochinga,Prov. Cordoba,Ascochinga,-31.171563 , -64.300411
150,El Despertar,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1120&country=El%20Despertar,Buenos Aires - Sur,Canning,,
151,Don Liliano,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=628&country=Don%20Liliano,Prov. Neuquen,Neuquén,-38.959088 , -68.090305
152,Haras del Pilar,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=312&country=Haras%20del%20Pilar,Buenos Aires - Norte,Pilar,-34.405513 , -58.843205
153,La Arbolada,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=175&country=La%20Arbolada,Buenos Aires - Sur,La PLata,-34.905011 , -58.168310
154,Talar Chico,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=408&country=Talar%20Chico,Buenos Aires - Norte,Pacheco,-34.457818 , -58.587968
155,La Bahia Country Nauti,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=568&country=La%20Bahia%20Country%20Nautico,Prov. Santa Fe,Rosario,-33.087081 , -60.538018
156,Las Angelicas,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=847&country=Las%20Angelicas,Buenos Aires - Norte,Bella Vista,,
157,Aymuray,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=618&country=Aymuray,Prov. Mendoza,Lujan de Cuyo,-33.059421 , -68.870058
158,Villa del lago,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1097&country=Villa%20del%20lago,Buenos Aires - Norte,Pilar,-34.450201 , -58.917789
159,La Chacra,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=570&country=La%20Chacra,Prov. Santa Fe,Arroyo Ceco,-33.167491 , -60.524775
160,Campo Timbo,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=558&country=Campo%20Timbo,Prov. Santa Fe,Santa Fé,-32.573666 , -60.819825
161,Los Peralitos,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=657&country=Los%20Peralitos,Prov. Mendoza,Chacras de Coria,-32.986546 , -68.876218
